DATE,COST
2013-04-03,4170
2013-04-04,4141
2013-04-05,4153
2013-04-06,null
2013-04-07,null
2013-04-08,4199
2013-04-09,4236
2013-04-10,4256
2013-04-11,4253
2013-04-12,4253
2013-04-13,null
2013-04-14,null
2013-04-15,4238
2013-04-16,4238
2013-04-17,4218
2013-04-18,4218
2013-04-19,3966
2013-04-20,null
2013-04-21,null
2013-04-22,3974
2013-04-23,3974
2013-04-24,3991
2013-04-25,3856
2013-04-26,3704
2013-04-27,null
2013-04-28,null
2013-04-29,3823
2013-04-30,3752
2013-05-01,null
2013-05-02,3307
2013-05-03,3293
2013-05-04,null
2013-05-05,null
2013-05-06,3205
2013-05-07,3241
2013-05-08,3218
2013-05-09,3130
2013-05-10,3100
2013-05-11,null
2013-05-12,null
2013-05-13,3097
2013-05-14,3128
2013-05-15,3116
2013-05-16,3009
2013-05-17,null
2013-05-18,null
2013-05-19,null
2013-05-20,2944
2013-05-21,2933
2013-05-22,2918
2013-05-23,2890
2013-05-24,2874
2013-05-25,null
2013-05-26,null
2013-05-27,2864
2013-05-28,2859
2013-05-29,2842
2013-05-30,2777
2013-05-31,2770
2013-06-01,null
2013-06-02,null
2013-06-03,2752
2013-06-04,2734
2013-06-05,2723
2013-06-06,null
2013-06-07,2737
2013-06-08,null
2013-06-09,null
2013-06-10,2737
2013-06-11,2716
2013-06-12,2691
2013-06-13,2650
2013-06-14,2659
2013-06-15,null
2013-06-16,null
2013-06-17,2693
2013-06-18,2706
2013-06-19,2737
2013-06-20,2775
2013-06-21,2788
2013-06-22,null
2013-06-23,null
2013-06-24,2773
2013-06-25,2774
2013-06-26,2741
2013-06-27,2741
2013-06-28,2741
2013-06-29,null
2013-06-30,null
2013-07-01,2690
2013-07-02,2683
2013-07-03,2657
2013-07-04,2659
2013-07-05,2636
2013-07-06,null
2013-07-07,null
2013-07-08,2676
2013-07-09,2707
2013-07-10,2693
2013-07-11,2701
2013-07-12,2694
2013-07-13,null
2013-07-14,null
2013-07-15,2690
2013-07-16,2726
2013-07-17,2734
2013-07-18,2763
2013-07-19,2816
2013-07-20,null
2013-07-21,null
2013-07-22,2878
2013-07-23,2889
2013-07-24,2942
2013-07-25,3019
2013-07-26,3075
2013-07-27,null
2013-07-28,null
2013-07-29,3147
2013-07-30,3303
2013-07-31,3365
2013-08-01,3376
2013-08-02,3359
2013-08-03,null
2013-08-04,null
2013-08-05,3369
2013-08-06,3388
2013-08-07,3426
2013-08-08,3450
2013-08-09,3535
2013-08-10,null
2013-08-11,null
2013-08-12,3575
2013-08-13,3698
2013-08-14,3705
2013-08-15,null
2013-08-16,3801
2013-08-17,null
2013-08-18,null
2013-08-19,3924
2013-08-20,4080
2013-08-21,4225
2013-08-22,4587
2013-08-23,4696
2013-08-24,null
2013-08-25,null
2013-08-26,4838
2013-08-27,5046
2013-08-28,5142
2013-08-29,5189
2013-08-30,5280
2013-08-31,null
2013-09-01,null
2013-09-02,5256
2013-09-03,5112
2013-09-04,5015
2013-09-05,4954
2013-09-06,4804
2013-09-07,null
2013-09-08,null
2013-09-09,4643
2013-09-10,4529
2013-09-11,4466
2013-09-12,4564
2013-09-13,4577
2013-09-14,null
2013-09-15,null
2013-09-16,4441
2013-09-17,4477
2013-09-18,null
2013-09-19,null
2013-09-20,null
2013-09-21,null
2013-09-22,null
2013-09-23,4592
2013-09-24,4537
2013-09-25,4359
2013-09-26,4044
2013-09-27,3995
2013-09-28,null
2013-09-29,null
2013-09-30,3930
2013-10-01,3903
2013-10-02,3829
2013-10-03,null
2013-10-04,3708
2013-10-05,null
2013-10-06,null
2013-10-07,3542
2013-10-08,3497
2013-10-09,null
2013-10-10,3068
2013-10-11,3017
2013-10-12,null
2013-10-13,null
2013-10-14,2883
2013-10-15,2846
2013-10-16,2812
2013-10-17,2435
2013-10-18,2349
2013-10-19,null
2013-10-20,null
2013-10-21,2272
2013-10-22,2233
2013-10-23,2199
2013-10-24,2303
2013-10-25,2242
2013-10-26,null
2013-10-27,null
2013-10-28,2250
2013-10-29,2270
2013-10-30,2286
2013-10-31,2273
2013-11-01,2288
2013-11-02,null
2013-11-03,null
2013-11-04,2350
2013-11-05,2303
2013-11-06,2201
2013-11-07,1976
2013-11-08,1961
2013-11-09,null
2013-11-10,null
2013-11-11,1870
2013-11-12,1870
2013-11-13,1870
2013-11-14,1804
2013-11-15,1796
2013-11-16,null
2013-11-17,null
2013-11-18,1845
2013-11-19,1858
2013-11-20,1887
2013-11-21,1935
2013-11-22,1935
